Anio,Fecha,Segmento,Marca,Modelo,Valor,Modelo_Original,Archivo_Origen
2018,2018-01-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,42,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,10,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,14,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,36,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,22,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,11,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,10,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,1,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,0,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,16,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,45,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Hatchback,HYUNDAI,HYUNDAI I-10 HATCHBACK,39,HYUNDAI I-10 HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,20,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,20,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,19,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,14,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,12,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,13,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,25,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,18,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,18,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,20,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,18,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Hatchback,SUZUKI,SUZUKI CELERIO HATCHBACK,14,SUZUKI CELERIO HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,11,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,6,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-03-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,8,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-04-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,10,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-05-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,9,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-06-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,10,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-07-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,8,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-08-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,15,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-09-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,13,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-10-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,4,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-11-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,12,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-12-01,Segmento A Hatchback,CHEVROLET,CHEVROLET SPARK HATCHBACK,9,CHEVROLET SPARK HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-01-01,Segmento A Hatchback,HYUNDAI,HYUNDAI EON HATCHBACK,9,HYUNDAI EON HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
2018,2018-02-01,Segmento A Hatchback,HYUNDAI,HYUNDAI EON HATCHBACK,14,HYUNDAI EON HATCHBACK,CUADROS ESTADISTICOS DE DICIEMBRE-2018.xlsx
